Provider,Species,Location,C3C4,Publication,DOI,Number,A,Pci,Tleaf,Qin
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,2,3.646888394,22.38973874,29.2506,1200.06
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,2,2.470217086,17.37901702,29.2623,1200.07
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,2,1.145888267,13.15986643,29.2795,1200.04
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,2,-0.07642604,8.377887631,29.2891,1200.04
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,2,-0.837340976,6.53347605,29.3061,1200.18
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,2,4.025510065,21.26440702,29.2845,1200.1
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,2,5.391898836,26.50297918,29.2833,1199.8
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,2,6.718912611,29.8368462,29.2768,1199.84
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,2,8.062801771,34.33024424,29.2596,1199.77
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,2,9.383323592,38.27685617,29.2537,1199.83
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,2,10.21690897,45.82487305,29.2516,1199.94
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,2,11.32049662,51.75281987,29.2732,1199.95
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,2,12.27306541,56.336668,29.2681,1199.9
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,2,13.00225378,62.7762288,29.2633,1200.02
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,2,13.62406942,67.79168868,29.2424,1199.94
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,2,14.60305478,73.37413104,29.2452,1199.95
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,2,14.88940886,81.81496723,29.2415,1199.99
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,2,15.65310468,86.52596838,29.2651,1199.92
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,2,4.001764233,21.65972687,29.3126,1199.94
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,3,5.168847107,18.71307733,29.0047,1199.95
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,3,3.298096088,16.04387958,29.0607,1199.99
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,3,1.539495908,12.34766524,29.1262,1199.68
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,3,-0.065236287,8.324339578,29.1345,1200.07
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,3,-0.852284578,6.203673581,29.1403,1199.88
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,3,5.695948559,20.19457072,29.0828,1199.78
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,3,7.668797667,24.52358367,29.0714,1199.93
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,3,9.508714418,30.38402789,29.0123,1199.75
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,3,11.09105839,35.12403598,28.9559,1199.85
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,3,12.45142777,41.31357461,28.8926,1200.37
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,3,13.47879761,47.0896427,28.8917,1199.93
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,3,14.32179417,51.7694793,28.9028,1200.15
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,3,14.93145161,58.17078953,28.9012,1200.24
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,3,15.9373562,62.02212012,28.903,1199.96
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,3,16.07691036,68.20710131,28.8963,1200.01
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,3,16.43807797,78.97640838,28.9257,1199.95
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,3,16.54158324,81.2433784,28.9363,1200.01
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,3,16.97723992,86.8084696,28.9858,1200.05
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,3,4.951367284,19.18897628,29.0677,1199.89
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,4,3.302760219,18.97938822,25.82118095,999.845
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,4,2.32748682,14.99353246,25.8498,999.871
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,4,1.264653979,11.7321785,25.86024286,999.976
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,4,0.117704139,8.025085425,25.85608571,1000.01
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,4,-0.644220496,5.439567242,25.83407143,1000.06
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,4,6.021534898,24.47861903,25.77572381,999.936
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,4,7.261187533,32.15507281,25.74721429,1000.02
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,4,8.086371705,39.79562605,25.73935238,999.945
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,4,8.646519969,47.44589671,25.75111429,999.982
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,4,9.149552729,54.68477003,25.76518571,999.953
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,4,9.490799569,61.64867714,25.77887143,999.896
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,4,9.866502742,65.80491067,25.79123333,999.879
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,4,9.917451224,72.17726652,25.81501429,1000.22
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,4,10.00824455,79.56978827,25.84664762,1000.2
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,4,10.07508801,85.92325247,25.84163333,999.898
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,4,10.59270849,94.46717295,25.86346667,999.873
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,4,11.19910182,103.8514816,25.87156667,1000.22
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,5,4.477326278,23.00041301,25.50585238,1000.16
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,5,2.821979305,17.92239898,25.52972381,999.791
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,5,1.317291968,13.31954383,25.54931905,999.822
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,5,-0.154781813,8.795150631,25.58398095,999.865
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,5,-0.838885411,6.425162942,25.58749048,999.84
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,5,4.75129488,21.9965445,25.54087619,1000.14
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,5,6.438354697,27.64518292,25.52319524,1000.16
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,5,7.87319489,34.73452065,25.4896381,1000.22
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,5,8.936273623,42.15065828,25.45938095,1000.18
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,5,9.616338625,49.35425611,25.46524286,1000.21
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,5,10.02206754,56.73570911,25.45754762,1000.26
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,5,10.34228412,62.49865038,25.5049,999.913
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,5,10.76800727,75.73347216,25.52489524,999.891
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,5,10.93066534,86.75895962,25.55940952,999.871
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,5,10.95032903,94.71507277,25.60879048,999.881
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,5,10.76133107,100.9570315,25.64164286,999.889
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,6,4.326410001,21.91023746,25.5396,1000.17
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,6,2.839704988,17.43844391,25.52158095,999.888
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,6,1.383045962,12.97287146,25.5382619,999.954
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,6,-0.11394028,8.673369417,25.55819048,999.906
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,6,-0.865123647,6.368373778,25.54748095,999.981
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,6,5.261259545,21.21257979,25.51107143,999.976
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,6,6.995822708,27.15266841,25.47012381,999.976
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,6,8.55083846,33.92885712,25.4492619,1000.01
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,6,9.533869723,41.74385845,25.43942381,1000.06
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,6,10.264353,49.5241282,25.43385238,1000.02
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,6,10.65983102,57.24042541,25.4308619,1000.07
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,6,11.08114741,64.36982434,25.44254286,999.95
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,6,11.50586374,78.98119281,25.45695714,999.752
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,6,11.78645698,92.73441983,25.45359524,1000.02
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,6,12.11239857,103.5824509,25.51635238,1000.09
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,6,12.15075096,112.9878752,25.52787619,999.953
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,6,2.153815952,23.93369929,25.60602381,1000.12
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,7,8.651928145,21.86785038,25.43474286,999.878
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,7,6.234782592,17.35105089,25.21797619,1000.02
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,7,4.135918181,12.21202108,25.13448095,999.997
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,7,4.131516179,12.19671455,25.18668095,1000.01
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,7,1.191836349,7.221999766,24.91275238,999.93
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,7,-0.388064607,4.566976132,25.35422857,1000.02
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,7,9.956131368,24.40536147,25.25343333,999.972
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,7,11.6902076,31.42580229,25.37339048,1000.15
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,7,12.74091677,39.65463004,25.01406667,1000.16
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,7,13.3308888,47.37783116,25.17589048,1000.1
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,7,13.60984107,54.91559842,25.44773333,1000.04
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,7,13.77769047,62.9785191,25.3459619,1000.07
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,7,13.9347526,70.87653726,25.19067619,1000.06
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,7,13.95692106,86.08133557,25.38655238,999.961
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,7,14.11876028,101.9707369,25.30928571,1000.04
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,7,14.03304731,119.0540823,24.8354,999.996
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,7,14.07369866,133.9824443,25.0898,1000.02
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,7,8.102020998,22.69605246,25.29180476,1000.01
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,8,6.100949059,22.11036757,24.74373333,999.859
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,8,4.149231743,17.4271055,24.7251,999.913
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,8,2.33560439,12.57038697,24.80365714,999.952
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,8,0.409064909,7.743475955,24.79954762,999.968
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,8,-0.601460071,5.156294359,24.78140476,1000.04
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,8,7.087224796,23.88360216,24.72252857,1000.03
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,8,9.178168504,30.32327368,24.70981429,999.811
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,8,10.90300565,37.67848696,24.67330952,1000.04
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,8,11.93476629,45.67660242,24.6460619,1000.24
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,8,12.5286675,54.13468443,24.63253333,999.931
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,8,12.65494152,63.05447655,24.61884286,1000.29
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,8,12.97265176,71.42919996,24.61814286,999.93
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,8,12.95828078,88.50210387,24.6257,999.985
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,8,12.91181862,105.4716058,24.62456667,1000.26
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,8,12.91969196,122.2612313,24.63305238,999.943
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,8,13.04436212,138.9545603,24.64502381,1000.01
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,8,7.04682159,26.48003217,24.68346667,1000.02
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,9,6.286304728,22.16972815,25.71993333,999.765
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,9,4.517675908,17.26955466,25.73774762,1000.12
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,9,2.583538868,12.40972077,25.70982857,999.76
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,9,0.426924308,7.699276504,25.75491905,1000.12
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,9,-0.667083504,5.232767547,25.74729524,999.809
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,9,7.135350223,23.3430459,25.71883333,999.842
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,9,8.675123286,30.34441987,25.68104286,1000.2
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,9,9.843789329,37.72740344,25.68764762,999.859
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,9,10.39092338,46.12029941,25.63759524,1000.17
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,9,10.81602569,54.35142634,25.64031429,1000.25
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,9,10.9506692,62.81161754,25.63116667,999.885
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,9,11.23310591,70.88725363,25.64149048,999.881
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,9,11.37978892,87.4723709,25.66747619,999.923
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,9,11.41548441,104.2729279,25.67009524,999.889
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,9,11.59363171,120.8302221,25.65248571,999.914
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,9,11.78407256,137.4119056,25.65960952,999.977
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,9,7.139991213,24.99019663,25.66806667,999.955
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,10,5.500907373,14.1847024,24.99471429,999.979
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,10,3.416476021,10.80261048,24.9852381,999.949
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,10,1.064168048,6.736653423,24.98955238,999.927
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,10,-0.327741308,4.673857436,24.9957,999.863
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,10,9.22488227,21.71814316,24.99641905,999.907
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,10,11.33913797,28.07129903,24.99721905,1000.03
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,10,12.89145028,35.37131413,24.98332381,1000.15
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,10,14.01637251,42.74308917,24.99291429,1000.13
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,10,14.48220679,51.2037387,24.99754286,999.868
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,10,14.80594565,59.35981074,25.00600476,1000.05
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,10,14.87120759,67.5200385,24.99373333,1000.15
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,10,14.7484126,84.57775402,25.00110476,999.771
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,10,14.66749537,101.3377083,24.99960952,1000.02
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,10,14.58734511,117.9447624,25.00291429,1000.06
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,10,14.57476031,134.3018204,24.99615714,1000.04
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,10,8.769874828,22.74631576,25.00211429,1000.06
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,10,-1.759890183,38.21631225,24.91404762,0
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,11,5.844686573,18.323752,24.95122857,1000.11
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,11,4.345585241,14.29007702,24.97620476,999.723
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,11,2.658616032,11.8679288,24.98855714,1000.1
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,11,0.625510494,7.329855245,24.98392381,1000.07
Yujie Wang,Betula occidentalis,,C3,Wang et al. (2019),https://doi.org/10.1093/treephys/tpz038,11,-0.538647934,5.048346244,24.98236667,1000.07
